customerID,CustomerFeedback,HasFeedback,sentiment_label_roberta,sentiment_score_roberta,sentiment_num_roberta
7590-vhveg,,FALSE,,,
5575-gnvde,,FALSE,,,
3668-qpybk,,FALSE,,,
7795-cfocw,,FALSE,,,
9237-hqitu,,FALSE,,,
9305-cdskc,,FALSE,,,
1452-kiovk,,FALSE,,,
6713-okomc,,FALSE,,,
7892-pookp,"i recently decided to cancel my service after 28 months with the company. while i appreciated the fast and reliable fiber optic internet service provided, i found that the monthly charges of $104.80",TRUE,negative,0.8595966696739197,0
6388-tabgu,"i have been a customer with this dsl provider for over five years now and i have been satisfied with the service overall. the automatic bank transfer for payment has been convenient and hassle-free. the monthly charges of $56.15 are reasonable for the internet service i receive. i appreciate the consistency of the service and have not experienced any issues that would lead me to consider churning to a different provider. overall, i am happy with my experience as a long-term customer.",TRUE,positive,0.9511668682098389,2
9763-grskd,,FALSE,,,
7469-lkbci,"i have been a customer with this company for 16 months now and i am happy to say that i have not experienced any issues with their service. the monthly charges of $18.95 are affordable and the automatic credit card payment method makes it convenient for me to pay my bills on time. even though i do not have internet service with them, i have been satisfied with the overall customer experience. i am looking forward to continuing my contract with them for the remaining duration.",TRUE,positive,0.9540302753448486,2
8091-ttvax,,FALSE,,,
0280-xjgex,,FALSE,,,
5129-jlpis,,FALSE,,,
3655-snqyz,,FALSE,,,
8191-xwszg,,FALSE,,,
9959-wofkt,,FALSE,,,
4190-mfluw,,FALSE,,,
4183-myfrb,,FALSE,,,
8779-qrdmv,,FALSE,,,
1680-vdcww,,FALSE,,,
1066-jksgk,,FALSE,,,
3638-weabw,,FALSE,,,
6322-hrpfa,,FALSE,,,
6865-jznko,,FALSE,,,
6467-chfzw,,FALSE,,,
8665-utdhz,,FALSE,,,
5248-ygijn,,FALSE,,,
8773-hhuoz,"i recently decided to switch internet providers after being with this company for 17 months on a month-to-month contract. the dsl service was reliable for the most part, but i found the monthly charges of $64.7 to be a bit on the higher side compared to other providers in the area. additionally, having to mail a check for payment was a bit inconvenient for me. overall, i decided to churn and go with a different provider that offered better value for the price.",TRUE,neutral,0.5061725378036499,1
3841-nfecx,"i have been a customer with this company for over 6 years now and i have been extremely satisfied with the service. the fiber optic internet service is fast and reliable, and the monthly charges are reasonable for the quality of service provided. i appreciate the convenience of automatic credit card payments, as it ensures that my bill is always paid on time. overall, i have had a great experience with this company and would highly recommend them to others.",TRUE,positive,0.9784860610961914,2
4929-xihvw,"i have been a customer with this fiber optic internet service provider for 2 months now, and i am extremely satisfied with the service. the connection is fast and reliable, and i have not experienced any issues with downtime or slow speeds. the automatic payment method with my credit card makes it convenient to pay my monthly bill of $95.5. overall, i would highly recommend this service to others looking for a reliable internet provider.",TRUE,positive,0.9756871461868286,2
6827-ieauq,,FALSE,,,
7310-egvhz,"i have been a customer with this company for just one month, and so far i am very satisfied with the service. the month-to-month contract and automatic bank transfer payment method make it convenient for me to manage my account. although i do not have internet service with this company, the monthly charges of $20.2 are reasonable. i have not experienced any issues with billing or service, so i have no complaints. overall, i am happy with my experience as a new customer.",TRUE,positive,0.9595829844474792,2
3413-bmnze,,FALSE,,,
6234-raapl,,FALSE,,,
6047-yhpvi,,FALSE,,,
6572-adkrs,"i have been a customer with this company for almost 4 years now and i have been extremely satisfied with their fiber optic internet service. the speed and reliability have been top-notch, and i have had no issues with connectivity. the automatic credit card payment method makes it convenient for me to pay my monthly bill on time. even though the monthly charges",TRUE,positive,0.9756956696510315,2
5380-wjkov,"i have been a customer with this company for 34 months now, but unfortunately, i have decided to churn. the monthly charges of $106.35 for fiber optic internet service were reasonable, but i found the service to be inconsistent and unreliable. additionally, the payment method of electro",TRUE,negative,0.9199069142341614,0
8168-uqwwf,,FALSE,,,
8865-tnmnx,,FALSE,,,
9489-dedvp,,FALSE,,,
9867-jczsp,,FALSE,,,
4671-vjlcl,,FALSE,,,
4080-iiard,,FALSE,,,
3714-ntnfo,,FALSE,,,
5948-ujzlf,,FALSE,,,
7760-oypdy,"i recently switched to this fiber optic internet service provider and signed up for a month-to-month contract. however, after just 2 months of service, i decided to cancel due to a better deal",TRUE,neutral,0.6333339214324951,1
7639-liayi,,FALSE,,,
2954-pibko,,FALSE,,,
8012-soudq,"i have been a customer with this company for over 3 years now and i have been very satisfied with the service. the fiber optic internet is fast and reliable, and i have had no issues with connectivity. the monthly charges are reasonable at $90.25 and the option to pay with an electronic",TRUE,positive,0.9721549153327942,2
9420-lojkx,,FALSE,,,
6575-suvoi,,FALSE,,,
7495-ookfy,,FALSE,,,
4667-qonea,,FALSE,,,
1658-bygoy,,FALSE,,,
8769-kktph,,FALSE,,,
5067-xjqfu,"i have been a loyal customer of this internet service provider for over 5 years now, and i have been very satisfied with the fiber optic internet service they offer. the speed and reliability of the connection have been excellent, and i have had no issues with downtime or interruptions.

i appreciate the convenience of being able to pay my monthly bill with an electronic check, and the $108.45 monthly charge for the service is reasonable for the quality of internet i receive.

overall, i have had a positive experience with this provider and would recommend them to others looking for reliable and fast internet service.",TRUE,positive,0.9668075442314148,2
3957-sqxml,,FALSE,,,
5954-bdfsg,,FALSE,,,
0434-csfon,,FALSE,,,
1215-figmp,,FALSE,,,
0526-sxdjp,,FALSE,,,
0557-askvu,,FALSE,,,
5698-bqjoh,,FALSE,,,
5122-cyfxa,"i have been a customer with this dsl internet service provider for 3 months now on a month-to-month contract. i have been satisfied with the service so far and have not experienced any issues that would cause me to consider churning. the monthly charges of $75.3 are reasonable for the internet speed and reliability i am receiving. i appreciate the convenience of paying through electronic check. overall, i am happy with my experience and plan to continue using this service.",TRUE,positive,0.9055678248405457,2
8627-zygsz,,FALSE,,,
3410-yoqbq,,FALSE,,,
3170-nmyvv,,FALSE,,,
7410-oiedu,"""i have been a customer with this company for 10 months now and i am very satisfied with the service. the fiber optic internet is fast and reliable, and i have had no issues with connectivity. the mont",TRUE,positive,0.9741466641426086,2
2273-qckxa,,FALSE,,,
0731-ebjqb,,FALSE,,,
1891-qrqsa,,FALSE,,,
8028-pnxhq,"i have been a customer with this company for over five years now and i have been very satisfied with the service. the automatic bank transfer payment method makes it convenient for me to pay my bill on time every month. even though i do not have internet service with them, the monthly charges of $24.25 for my other services are very reasonable. i have no plans to leave this company anytime soon.",TRUE,positive,0.9477839469909668,2
5630-ahzil,,FALSE,,,
2673-cxqeu,,FALSE,,,
6416-jnvrk,"i have been with this dsl service provider for 46 months now and i have been overall satisfied with the service. the monthly charges of $55.65 are reasonable for the internet speed and reliability i receive. i appreciate the convenience of the automatic credit card payment method, as it ensures that my bills are always paid on time. i have not experienced any issues or outages that would make me consider switching providers. overall, i would recommend this service to others looking for a reliable and affordable internet option.",TRUE,positive,0.9558058381080627,2
5590-zskrv,i have been a customer with this company for 8 months now and i am very satisfied with the service. the monthly charges are reasonable at $54.65 and the dsl internet service has been reliable. i appreciate the flexibility of the month-to-month contract as it gives me the option to easily c,TRUE,positive,0.9741536974906921,2
0191-zhskz,,FALSE,,,
3887-pbqao,,FALSE,,,
5919-tmrgd,,FALSE,,,
8108-uxrqn,,FALSE,,,
9191-myqkx,,FALSE,,,
9919-ylnng,,FALSE,,,
0318-zopws,i have been a customer with this company for almost four years now and i have never experienced any issues with my service or billing. the automatic bank transfer payment method is convenient and ensure,TRUE,positive,0.8925427198410034,2
4445-zjnmu,,FALSE,,,
4808-ynleu,,FALSE,,,
1862-qrwpe,,FALSE,,,
2796-nnufi,,FALSE,,,
3016-ksvcp,,FALSE,,,
4767-hzzhq,,FALSE,,,
2424-wvhpl,,FALSE,,,
7233-pahhl,i have been a customer with this company for over 5 years now and i have been very satisfied with the service. the dsl internet service has been reliable and the monthly c,TRUE,positive,0.9767894148826599,2
6067-ngceu,,FALSE,,,
9848-jqjtx,,FALSE,,,
8637-xjivr,,FALSE,,,
9803-ftjcg,,FALSE,,,
0278-yxoog,,FALSE,,,
3212-kxocr,,FALSE,,,
4598-xlknj,,FALSE,,,
6380-arceh,,FALSE,,,
3679-xaspy,"i have been a customer with this company for one month now and so far i am very satisfied. the month-to-month contract option is convenient for me and the monthly charges of $19.45 are affordable. i do not have internet service with this company, so i cannot comment on that as",TRUE,positive,0.9322220683097839,2
7123-wquhx,"i have been a customer with this company for 38 months now and i am very satisfied with the service. the fiber optic internet service has been reliable and fast, and i have not experienced any issues with connectivity. the automatic bank transfer payment method is convenient and hassle-free. although the monthly charges are on the higher side at $95.0, i believe the quality of service justifies the cost. overall, i have had a positive experience and would recommend this company to others.",TRUE,positive,0.9723906517028809,2
5386-thslq,"i have been a loyal customer of this internet service provider for over five years now. i have been on a one-year contract with monthly charges of $45.55 for dsl internet service. i appreciate the convenience of automatic bank transfers for payment, as it ensures that my bill is always paid on time. i have had no issues with churn and overall, i am satisfied with the service provided.",TRUE,positive,0.919152558,2
3192-nqeca,,FALSE,,,
6180-ybiqi,,FALSE,,,
6728-dkuco,,FALSE,,,
9750-boohv,,FALSE,,,
8597-cwyhh,"""i have been a loyal customer with this company for over three and a half years now and have been very satisfied with their fiber optic internet service. the speed and reliability have been excellent, and i have had no issues with connectivity. the monthly charges are reasonable for the quality of service provided. i appreciate being able to pay by mailed check as it is convenient for me. overall, i have no complaints and would highly recommend this company to others.""",TRUE,positive,0.9741307497024536,2
2848-yxsmw,,FALSE,,,
0486-heczi,,FALSE,,,
4549-zdqyy,,FALSE,,,
5712-ahqnn,,FALSE,,,
4846-whafz,"i was a customer of this company for 37 months and overall i was satisfied with their fiber optic internet service. however, i ultimately decided to churn because i found a better deal with anot",TRUE,neutral,0.4498625099658966,1
5256-skjgo,i have been a customer with this company for over five years and have been satisfied with the dsl internet service they provide. the monthly charges are reasonable at $54.6 and i appreciate the,TRUE,positive,0.9661003947257996,2
3071-vbypo,,FALSE,,,
9560-bbzxk,,FALSE,,,
5299-ruloa,,FALSE,,,
8402-ooohj,,FALSE,,,
9445-zueqe,"i have been a customer with this company for 27 months now and i have been extremely satisfied with the service. the fiber optic internet service has been reliable and fast, with no issues or interruptions. the automatic credit card payment method makes it convenient for me to pay my monthly charges of $85.2 without having to worry about late fees. overall, i have had a great experience and have no complaints.",TRUE,positive,0.9709393382072449,2
1091-sozga,,FALSE,,,
2928-hldba,,FALSE,,,
0404-swrvg,,FALSE,,,
6497-tilvl,,FALSE,,,
7219-tlzho,,FALSE,,,
4622-ynkij,,FALSE,,,
4412-yltkf,,FALSE,,,
6734-psbaw,,FALSE,,,
3930-zgwve,,FALSE,,,
2639-ugmaz,,FALSE,,,
2876-gzyzc,,FALSE,,,
6207-wiolx,,FALSE,,,
8587-xyzsf,,FALSE,,,
3091-fyhki,,FALSE,,,
2372-hwuhi,"i recently switched to this dsl internet service provider two months ago on a month-to-month contract. unfortunately, i have decided to cancel my service due to the slow and unreliable internet connection. despite the affordable monthly charges of $44.35, the service did not meet my expectations. i experienced frequent disconnections and slow speeds, which made it difficult to work from home and stream videos. additionally, the payment method of electronic check was convenient, but it did not make up for the poor service quality. overall, i would not recommend this provider to others looking for a reliable internet connection.",TRUE,negative,0.9264832139015198,0
7799-lgrdp,,FALSE,,,
7850-vwjuu,,FALSE,,,
3774-vbnxy,,FALSE,,,
6217-kdywc,,FALSE,,,
0390-dcfdq,,FALSE,,,
3146-msegf,"i have been a customer with this company for 6 years now and have been satisfied with the service overall. the dsl internet service has been consistent and reliable, and the automatic credit card payment option has made it easy to man",TRUE,positive,0.9701996445655823,2
4080-ogpjl,,FALSE,,,
1095-wgngg,,FALSE,,,
2636-sjdou,"i have been a customer with this company for over five years now and i have been extremely satisfied with the service. the fiber optic internet is fast and reliable, and i have never experienced any downtime. the automatic payment method makes it convenient for me to pay my bill on time every month. the monthly charges are reasonable for the quality of service i receive. overall, i have no complaints and would highly recommend this company to others.",TRUE,positive,0.972491443,2
1131-qqzeb,"i have been a customer with this company for over 6 years now and i have been extremely satisfied with their service. the automatic bank transfer payment method is convenient and hassle-free. even though i do not have internet service with them, i find the monthly charges of $23.95 to be very reasonable. i am on a two-year contract and have no plans of churning anytime soon. overall, i highly recommend this company for their reliability and affordability.",TRUE,positive,0.9720097184181213,2
5716-ezxzn,,FALSE,,,
6837-bjydq,,FALSE,,,
2135-rxihg,"i recently switched to this internet provider and unfortunately had to cancel after only one month due to some unforeseen circumstances. the monthly charges were reasonable at $45.65 for dsl service. i appreciated the convenience of being able to pay with an electronic check. overall, i had a positive experience during my short tenure with this company.",TRUE,neutral,0.42831769585609436,1
6440-dkqge,,FALSE,,,
3466-byavd,,FALSE,,,
3780-yvmfa,,FALSE,,,
3874-eqoep,,FALSE,,,
1679-jrfbr,,FALSE,,,
9073-zziay,,FALSE,,,
3077-rsntj,,FALSE,,,
6551-gnydg,,FALSE,,,
9167-apmxz,,FALSE,,,
2749-ctkaj,"i have been a customer with this company for nearly two years now and i have been very satisfied with the service. the monthly charges are very reasonable at $20.15 and i appreciate the convenience of being able to pay by mailing a check. although i do not have internet service with this provider, i have had no issues with the service i do have. overall, i am happy with my experience and have no plans to switch providers.",TRUE,positive,0.9676979780197144,2
6371-nzyeg,,FALSE,,,
7554-newdd,,FALSE,,,
8992-vonjd,,FALSE,,,
0867-mkzvy,"i was a customer of this company for 20 months before deciding to cancel my service. i was on a month-to-month contract with monthly charges of $82.4 for fiber optic internet service. overall, the service was reliable and fast, but i ultimately decided to switch providers for a better deal. i appreciated being able to pay with electronic check, as it was convenient and easy to manage. overall, i had a positive experience with the company but found a better option that suited my needs better.",TRUE,neutral,0.4611023962497711,1
4482-ewfmi,,FALSE,,,
4648-ypbtm,"""i have been a customer with this company for over four years now and have been satisfied with the service overall. the dsl internet has been reliable and the monthly charges are reasonable at $73.9. i apprec",TRUE,positive,0.9685270190238953,2
2907-iljbn,,FALSE,,,
6345-fzoqh,,FALSE,,,
3376-bmgfe,"i had a positive experience with the fiber optic internet service provided by this company for the past 4 months. the speed and reliability were excellent and met my expectations. however, i recently decided to switch to another provider due to a better promotional offer. the automatic bank transfer for payment was conv",TRUE,positive,0.9386709928512573,2
5997-opvfa,,FALSE,,,
3445-hxxgf,,FALSE,,,
1159-wfsgr,,FALSE,,,
